,marca,tipo,consumo,consumoCarretera,cilindros,motor,potencia,RPM,largo,ancho,peso,precio
64,Nissan,Compact,24,30,4.0,2.4,150,5600,181,67,3050,15.7
65,Nissan,Van,17,23,6.0,3.0,151,4800,190,74,4100,19.1
66,Nissan,Midsize,21,26,6.0,3.0,160,5200,188,69,3200,21.5
67,Oldsmobile,Compact,24,31,4.0,2.3,155,6000,188,67,2910,13.5
68,Oldsmobile,Midsize,23,31,4.0,2.2,110,5200,190,70,2890,16.3
69,Oldsmobile,Van,18,23,6.0,3.8,170,4800,194,74,3715,19.5
70,Oldsmobile,Large,19,28,6.0,3.8,170,4800,201,74,3470,20.7
71,Plymouth,Sporty,23,30,4.0,1.8,92,5000,173,67,2640,14.4
72,Pontiac,Small,31,41,4.0,1.6,74,5600,177,66,2350,9.0
73,Pontiac,Compact,23,31,4.0,2.0,110,5200,181,66,2575,11.1
74,Pontiac,Sporty,19,28,6.0,3.4,160,4600,196,75,3240,17.7
75,Pontiac,Midsize,19,27,6.0,3.4,200,5000,195,72,3450,18.5
76,Pontiac,Large,19,28,6.0,3.8,170,4800,177,74,3495,24.4
77,Saab,Compact,20,26,4.0,2.1,140,6000,184,67,2775,28.7
78,Saturn,Small,28,38,4.0,1.9,85,5000,176,68,2495,11.1
79,Subaru,Small,33,37,3.0,1.2,73,5600,146,60,2045,8.4
80,Subaru,Small,25,30,4.0,1.8,90,5200,175,65,2490,10.9
81,Subaru,Compact,23,30,4.0,2.2,130,5600,179,67,3085,19.5
82,Suzuki,Small,39,43,3.0,1.3,70,6000,161,63,1965,8.6
83,Toyota,Small,32,37,4.0,1.5,82,5200,162,65,2055,9.8
84,Toyota,Sporty,25,32,4.0,2.2,135,5400,174,69,2950,18.4
85,Toyota,Midsize,22,29,4.0,2.2,130,5400,188,70,3030,18.2
86,Toyota,Van,18,22,4.0,2.4,138,5000,187,71,3785,22.7
87,Volkswagen,Small,25,33,4.0,1.8,81,5500,163,63,2240,9.1
88,Volkswagen,Van,17,21,5.0,2.5,109,4500,187,72,3960,19.7
89,Volkswagen,Compact,21,30,4.0,2.0,134,5800,180,67,2985,20.0
90,Volkswagen,Sporty,18,25,6.0,2.8,178,5800,159,66,2810,23.3
91,Volvo,Compact,21,28,4.0,2.3,114,5400,190,67,2985,22.7
92,Volvo,Midsize,20,28,5.0,2.4,168,6200,184,69,3245,26.7
